Country,City,Country_ru,City_ru,Date,Index
Azerbaijan,Baku,Азербайджан,Баку,2020-02-23,2.8
Azerbaijan,Baku,Азербайджан,Баку,2020-02-24,1.7
Azerbaijan,Baku,Азербайджан,Баку,2020-02-25,1.8
Azerbaijan,Baku,Азербайджан,Баку,2020-02-26,1.8
Azerbaijan,Baku,Азербайджан,Баку,2020-02-27,1.7
Azerbaijan,Baku,Азербайджан,Баку,2020-02-28,1.8
Azerbaijan,Baku,Азербайджан,Баку,2020-02-29,2.4
Azerbaijan,Baku,Азербайджан,Баку,2020-03-01,3.0
Azerbaijan,Baku,Азербайджан,Баку,2020-03-02,2.0
Azerbaijan,Baku,Азербайджан,Баку,2020-03-03,2.1
Azerbaijan,Baku,Азербайджан,Баку,2020-03-04,2.0
Azerbaijan,Baku,Азербайджан,Баку,2020-03-05,2.1
Azerbaijan,Baku,Азербайджан,Баку,2020-03-06,1.9
Azerbaijan,Baku,Азербайджан,Баку,2020-03-07,2.3
Azerbaijan,Baku,Азербайджан,Баку,2020-03-08,2.8
Azerbaijan,Baku,Азербайджан,Баку,2020-03-09,2.6
Azerbaijan,Baku,Азербайджан,Баку,2020-03-10,2.0
Azerbaijan,Baku,Азербайджан,Баку,2020-03-11,2.0
Azerbaijan,Baku,Азербайджан,Баку,2020-03-12,2.0
Azerbaijan,Baku,Азербайджан,Баку,2020-03-13,2.0
Azerbaijan,Baku,Азербайджан,Баку,2020-03-14,2.5
Azerbaijan,Baku,Азербайджан,Баку,2020-03-15,3.0
Azerbaijan,Baku,Азербайджан,Баку,2020-03-16,2.2
Azerbaijan,Baku,Азербайджан,Баку,2020-03-17,2.4
Azerbaijan,Baku,Азербайджан,Баку,2020-03-18,2.4
Azerbaijan,Baku,Азербайджан,Баку,2020-03-19,2.5
Azerbaijan,Baku,Азербайджан,Баку,2020-03-20,3.2
Azerbaijan,Baku,Азербайджан,Баку,2020-03-21,3.3
Azerbaijan,Baku,Азербайджан,Баку,2020-03-22,3.5
Azerbaijan,Baku,Азербайджан,Баку,2020-03-23,3.2
Azerbaijan,Baku,Азербайджан,Баку,2020-03-24,3.3
Azerbaijan,Baku,Азербайджан,Баку,2020-03-25,3.3
Azerbaijan,Baku,Азербайджан,Баку,2020-03-26,3.3
Azerbaijan,Baku,Азербайджан,Баку,2020-03-27,3.3
Azerbaijan,Baku,Азербайджан,Баку,2020-03-28,3.5
Azerbaijan,Baku,Азербайджан,Баку,2020-03-29,3.9
Azerbaijan,Baku,Азербайджан,Баку,2020-03-30,3.6
Azerbaijan,Baku,Азербайджан,Баку,2020-03-31,3.6
Azerbaijan,Baku,Азербайджан,Баку,2020-04-01,3.7
Azerbaijan,Baku,Азербайджан,Баку,2020-04-02,3.8
Azerbaijan,Baku,Азербайджан,Баку,2020-04-03,3.8
Azerbaijan,Baku,Азербайджан,Баку,2020-04-04,3.9
Azerbaijan,Baku,Азербайджан,Баку,2020-04-05,4.6
Azerbaijan,Baku,Азербайджан,Баку,2020-04-06,4.1
Azerbaijan,Baku,Азербайджан,Баку,2020-04-07,4.1
Azerbaijan,Baku,Азербайджан,Баку,2020-04-08,4.0
Azerbaijan,Baku,Азербайджан,Баку,2020-04-09,4.0
Azerbaijan,Baku,Азербайджан,Баку,2020-04-10,3.9
Azerbaijan,Baku,Азербайджан,Баку,2020-04-11,4.0
Azerbaijan,Baku,Азербайджан,Баку,2020-04-12,4.3
Azerbaijan,Baku,Азербайджан,Баку,2020-04-13,3.8
Azerbaijan,Baku,Азербайджан,Баку,2020-04-14,3.9
Azerbaijan,Baku,Азербайджан,Баку,2020-04-15,3.8
Azerbaijan,Baku,Азербайджан,Баку,2020-04-16,3.8
Azerbaijan,Baku,Азербайджан,Баку,2020-04-17,3.7
Azerbaijan,Baku,Азербайджан,Баку,2020-04-18,3.9
Azerbaijan,Baku,Азербайджан,Баку,2020-04-19,4.1
Azerbaijan,Baku,Азербайджан,Баку,2020-04-20,3.6
Azerbaijan,Baku,Азербайджан,Баку,2020-04-21,3.6
Azerbaijan,Baku,Азербайджан,Баку,2020-04-22,3.6
Azerbaijan,Baku,Азербайджан,Баку,2020-04-23,3.7
Azerbaijan,Baku,Азербайджан,Баку,2020-04-24,3.6
Azerbaijan,Baku,Азербайджан,Баку,2020-04-25,3.8
Azerbaijan,Baku,Азербайджан,Баку,2020-04-26,4.1
Azerbaijan,Baku,Азербайджан,Баку,2020-04-27,3.3
Azerbaijan,Baku,Азербайджан,Баку,2020-04-28,3.4
Azerbaijan,Baku,Азербайджан,Баку,2020-04-29,3.3
Azerbaijan,Baku,Азербайджан,Баку,2020-04-30,3.3
Azerbaijan,Baku,Азербайджан,Баку,2020-05-01,3.2
Azerbaijan,Baku,Азербайджан,Баку,2020-05-02,3.4
Azerbaijan,Baku,Азербайджан,Баку,2020-05-03,3.8
Azerbaijan,Baku,Азербайджан,Баку,2020-05-04,2.9
Azerbaijan,Baku,Азербайджан,Баку,2020-05-05,2.9
