Country,Country_ru,Date,Confirmed,Recovered,Deaths,Day_Deaths,Day_Confirmed,Day_Recovered
Australia,Австралия,2020-01-22,0,0,0,0,0,0
Australia,Австралия,2020-01-23,0,0,0,0,0,0
Australia,Австралия,2020-01-24,0,0,0,0,0,0
Australia,Австралия,2020-01-25,0,0,0,0,0,0
Australia,Австралия,2020-01-26,4,0,0,0,4,0
Australia,Австралия,2020-01-27,5,0,0,0,1,0
Australia,Австралия,2020-01-28,5,0,0,0,0,0
Australia,Австралия,2020-01-29,6,0,0,0,1,0
Australia,Австралия,2020-01-30,9,2,0,0,3,2
Australia,Австралия,2020-01-31,9,2,0,0,0,0
Australia,Австралия,2020-02-01,12,2,0,0,3,0
Australia,Австралия,2020-02-02,12,2,0,0,0,0
Australia,Австралия,2020-02-03,12,2,0,0,0,0
Australia,Австралия,2020-02-04,13,2,0,0,1,0
Australia,Австралия,2020-02-05,13,2,0,0,0,0
Australia,Австралия,2020-02-06,14,2,0,0,1,0
Australia,Австралия,2020-02-07,15,2,0,0,1,0
Australia,Австралия,2020-02-08,15,2,0,0,0,0
Australia,Австралия,2020-02-09,15,2,0,0,0,0
Australia,Австралия,2020-02-10,15,2,0,0,0,0
Australia,Австралия,2020-02-11,15,2,0,0,0,0
Australia,Австралия,2020-02-12,15,2,0,0,0,0
Australia,Австралия,2020-02-13,15,8,0,0,0,6
Australia,Австралия,2020-02-14,15,8,0,0,0,0
Australia,Австралия,2020-02-15,15,8,0,0,0,0
Australia,Австралия,2020-02-16,15,8,0,0,0,0
Australia,Австралия,2020-02-17,15,10,0,0,0,2
Australia,Австралия,2020-02-18,15,10,0,0,0,0
Australia,Австралия,2020-02-19,15,10,0,0,0,0
Australia,Австралия,2020-02-20,15,10,0,0,0,0
Australia,Австралия,2020-02-21,15,11,0,0,0,1
Australia,Австралия,2020-02-22,15,11,0,0,0,0
Australia,Австралия,2020-02-23,15,11,0,0,0,0
Australia,Австралия,2020-02-24,15,11,0,0,0,0
Australia,Австралия,2020-02-25,15,11,0,0,0,0
Australia,Австралия,2020-02-26,15,11,0,0,0,0
